Methods	KW CLR	KW rCLR	baySeq	GLM NBZI	fitZIG	edgeR RLE	edgeR TMM	t-test rCLR	ALDEx2 t-test	GLM rCLR	ALDEx2 Wilcoxon	DESeq2	SAMseq	fitFeatureModel	limma-voom	GLM CLR	t-test TSS	GLM TSS	ANCOM	ANCOM-BC	KW TSS	LEfSe	t-test CLR
t-test CLR	0.0501930501930502	0.0625	0.0369318181818182	0.126984126984127	0.0753968253968254	0.0860927152317881	0.0786516853932584	0.13953488372093	0.263157894736842	0.13953488372093	0.421052631578947	0.444444444444444	0.428571428571429	0.5	0.439024390243902	0.708333333333333	0.6	0.636363636363636	0.678571428571429	0.730769230769231	0.739130434782609	0.739130434782609	1
LEfSe	0.0538461538461538	0.0900900900900901	0.0426136363636364	0.140625	0.0833333333333333	0.0993377483443709	0.096045197740113	0.159090909090909	0.238095238095238	0.186046511627907	0.380952380952381	0.413793103448276	0.405405405405405	0.346153846153846	0.452380952380952	0.592592592592593	0.555555555555556	0.52	0.633333333333333	0.740740740740741	1	1	0.739130434782609
KW TSS	0.0538461538461538	0.0900900900900901	0.0426136363636364	0.140625	0.0833333333333333	0.0993377483443709	0.096045197740113	0.159090909090909	0.238095238095238	0.186046511627907	0.380952380952381	0.413793103448276	0.405405405405405	0.346153846153846	0.452380952380952	0.592592592592593	0.555555555555556	0.52	0.633333333333333	0.740740740740741	1	1	0.739130434782609
ANCOM-BC	0.0528301886792453	0.0862068965517241	0.047887323943662	0.147058823529412	0.103174603174603	0.132450331125828	0.0994475138121547	0.142857142857143	0.192307692307692	0.142857142857143	0.307692307692308	0.4375	0.390243902439024	0.428571428571429	0.534883720930233	0.548387096774194	0.620689655172414	0.535714285714286	0.636363636363636	1	0.740740740740741	0.740740740740741	0.730769230769231
ANCOM	0.0766283524904215	0.0847457627118644	0.0417827298050139	0.159420289855072	0.102362204724409	0.116129032258065	0.0923913043478261	0.16	0.178571428571429	0.16	0.285714285714286	0.371428571428571	0.594594594594595	0.4	0.511111111111111	0.612903225806452	0.53125	0.551724137931034	1	0.636363636363636	0.633333333333333	0.633333333333333	0.678571428571429
GLM TSS	0.0505836575875486	0.073394495412844	0.0401146131805158	0.15	0.0674603174603175	0.0728476821192053	0.0734463276836158	0.119047619047619	0.294117647058824	0.146341463414634	0.470588235294118	0.37037037037037	0.411764705882353	0.55	0.425	0.625	0.80952380952381	1	0.551724137931034	0.535714285714286	0.52	0.52	0.636363636363636
t-test TSS	0.0498084291187739	0.0707964601769911	0.0455840455840456	0.140625	0.0833333333333333	0.0993377483443709	0.0898876404494382	0.108695652173913	0.238095238095238	0.133333333333333	0.380952380952381	0.413793103448276	0.368421052631579	0.521739130434783	0.48780487804878	0.592592592592593	1	0.80952380952381	0.53125	0.620689655172414	0.555555555555556	0.555555555555556	0.6
GLM CLR	0.0700389105058366	0.0608695652173913	0.0484330484330484	0.121212121212121	0.08300395256917	0.105960264900662	0.0955056179775281	0.106382978723404	0.227272727272727	0.155555555555556	0.363636363636364	0.354838709677419	0.472222222222222	0.384615384615385	0.476190476190476	1	0.592592592592593	0.625	0.612903225806452	0.548387096774194	0.592592592592593	0.592592592592593	0.708333333333333
limma-voom	0.0654545454545455	0.111111111111111	0.0782122905027933	0.15	0.158730158730159	0.185897435897436	0.145161290322581	0.166666666666667	0.125	0.186440677966102	0.2	0.304347826086957	0.365384615384615	0.285714285714286	1	0.476190476190476	0.48780487804878	0.425	0.511111111111111	0.534883720930233	0.452380952380952	0.452380952380952	0.439024390243902
fitFeatureModel	0.0389105058365759	0.0654205607476635	0.0227272727272727	0.1	0.0555555555555556	0.0529801324503311	0.050561797752809	0.157894736842105	0.357142857142857	0.157894736842105	0.571428571428571	0.36	0.323529411764706	1	0.285714285714286	0.384615384615385	0.521739130434783	0.55	0.4	0.428571428571429	0.346153846153846	0.346153846153846	0.5
SAMseq	0.10077519379845	0.0916666666666667	0.0443213296398892	0.152777777777778	0.10546875	0.113924050632911	0.0851063829787234	0.173076923076923	0.161290322580645	0.173076923076923	0.258064516129032	0.378378378378378	1	0.323529411764706	0.365384615384615	0.472222222222222	0.368421052631579	0.411764705882353	0.594594594594595	0.390243902439024	0.405405405405405	0.405405405405405	0.428571428571429
DESeq2	0.0380228136882129	0.0619469026548673	0.0338983050847458	0.161290322580645	0.0708661417322835	0.0927152317880795	0.0782122905027933	0.162790697674419	0.19047619047619	0.162790697674419	0.272727272727273	1	0.378378378378378	0.36	0.304347826086957	0.354838709677419	0.413793103448276	0.37037037037037	0.371428571428571	0.4375	0.413793103448276	0.413793103448276	0.444444444444444
ALDEx2 Wilcoxon	0.0316205533596838	0.0485436893203883	0.0172413793103448	0.0526315789473684	0.0317460317460317	0.0268456375838926	0.0402298850574713	0.117647058823529	0.625	0.151515151515152	1	0.272727272727273	0.258064516129032	0.571428571428571	0.2	0.363636363636364	0.380952380952381	0.470588235294118	0.285714285714286	0.307692307692308	0.380952380952381	0.380952380952381	0.421052631578947
GLM rCLR	0.0559701492537313	0.287128712871287	0.0651558073654391	0.223880597014925	0.0888030888030888	0.09375	0.109289617486339	0.621621621621622	0.0606060606060606	1	0.151515151515152	0.162790697674419	0.173076923076923	0.157894736842105	0.186440677966102	0.155555555555556	0.133333333333333	0.146341463414634	0.16	0.142857142857143	0.186046511627907	0.186046511627907	0.13953488372093
ALDEx2 t-test	0.0197628458498024	0.0194174757281553	0.0144508670520231	0.0178571428571429	0.0198412698412698	0.0204081632653061	0.0229885057471264	0.0606060606060606	1	0.0606060606060606	0.625	0.19047619047619	0.161290322580645	0.357142857142857	0.125	0.227272727272727	0.238095238095238	0.294117647058824	0.178571428571429	0.192307692307692	0.238095238095238	0.238095238095238	0.263157894736842
t-test rCLR	0.0328467153284672	0.274509803921569	0.0591549295774648	0.205882352941176	0.0930232558139535	0.09375	0.115384615384615	1	0.0606060606060606	0.621621621621622	0.117647058823529	0.162790697674419	0.173076923076923	0.157894736842105	0.166666666666667	0.106382978723404	0.108695652173913	0.119047619047619	0.16	0.142857142857143	0.159090909090909	0.159090909090909	0.13953488372093
edgeR TMM	0.34384858044164	0.207964601769911	0.466101694915254	0.178010471204188	0.366559485530547	0.413333333333333	1	0.115384615384615	0.0229885057471264	0.109289617486339	0.0402298850574713	0.0782122905027933	0.0851063829787234	0.050561797752809	0.145161290322581	0.0955056179775281	0.0898876404494382	0.0734463276836158	0.0923913043478261	0.0994475138121547	0.096045197740113	0.096045197740113	0.0786516853932584
edgeR RLE	0.206060606060606	0.183574879227053	0.330623306233062	0.246835443037975	0.397887323943662	1	0.413333333333333	0.09375	0.0204081632653061	0.09375	0.0268456375838926	0.0927152317880795	0.113924050632911	0.0529801324503311	0.185897435897436	0.105960264900662	0.0993377483443709	0.0728476821192053	0.116129032258065	0.132450331125828	0.0993377483443709	0.0993377483443709	0.0860927152317881
fitZIG	0.298200514138817	0.209621993127148	0.517766497461929	0.151515151515152	1	0.397887323943662	0.366559485530547	0.0930232558139535	0.0198412698412698	0.0888030888030888	0.0317460317460317	0.0708661417322835	0.10546875	0.0555555555555556	0.158730158730159	0.08300395256917	0.0833333333333333	0.0674603174603175	0.102362204724409	0.103174603174603	0.0833333333333333	0.0833333333333333	0.0753968253968254
GLM NBZI	0.0777385159010601	0.151515151515152	0.12112676056338	1	0.151515151515152	0.246835443037975	0.178010471204188	0.205882352941176	0.0178571428571429	0.223880597014925	0.0526315789473684	0.161290322580645	0.152777777777778	0.1	0.15	0.121212121212121	0.140625	0.15	0.159420289855072	0.147058823529412	0.140625	0.140625	0.126984126984127
baySeq	0.627717391304348	0.245810055865922	1	0.12112676056338	0.517766497461929	0.330623306233062	0.466101694915254	0.0591549295774648	0.0144508670520231	0.0651558073654391	0.0172413793103448	0.0338983050847458	0.0443213296398892	0.0227272727272727	0.0782122905027933	0.0484330484330484	0.0455840455840456	0.0401146131805158	0.0417827298050139	0.047887323943662	0.0426136363636364	0.0426136363636364	0.0369318181818182
KW rCLR	0.208904109589041	1	0.245810055865922	0.151515151515152	0.209621993127148	0.183574879227053	0.207964601769911	0.274509803921569	0.0194174757281553	0.287128712871287	0.0485436893203883	0.0619469026548673	0.0916666666666667	0.0654205607476635	0.111111111111111	0.0608695652173913	0.0707964601769911	0.073394495412844	0.0847457627118644	0.0862068965517241	0.0900900900900901	0.0900900900900901	0.0625
