Methods	baySeq	ANCOM	KW rCLR	GLM rCLR	t-test rCLR	GLM NBZI	ALDEx2 t-test	fitZIG	edgeR TMM	edgeR RLE	ALDEx2 Wilcoxon	DESeq2	KW CLR	SAMseq	fitFeatureModel	ANCOM-BC	limma-voom	KW TSS	LEfSe	GLM TSS	t-test CLR	GLM CLR	t-test TSS
t-test TSS	0.222222222222222	0.194444444444444	0.267441860465116	0.204545454545455	0.227272727272727	0.285714285714286	0.305555555555556	0.455696202531646	0.391304347826087	0.426470588235294	0.342105263157895	0.428571428571429	0.473684210526316	0.708333333333333	0.615384615384615	0.763157894736842	0.837837837837838	0.789473684210526	0.789473684210526	0.918918918918919	0.861111111111111	0.861111111111111	1
GLM CLR	0.173076923076923	0.225806451612903	0.238095238095238	0.2	0.225	0.264150943396226	0.354838709677419	0.392405063291139	0.340909090909091	0.373134328358209	0.393939393939394	0.447368421052632	0.545454545454545	0.638297872340426	0.705882352941177	0.878787878787879	0.75	0.75	0.75	0.833333333333333	1	1	0.861111111111111
t-test CLR	0.173076923076923	0.225806451612903	0.238095238095238	0.2	0.225	0.264150943396226	0.354838709677419	0.392405063291139	0.340909090909091	0.373134328358209	0.393939393939394	0.447368421052632	0.545454545454545	0.638297872340426	0.705882352941177	0.878787878787879	0.75	0.75	0.75	0.833333333333333	1	1	0.861111111111111
GLM TSS	0.203703703703704	0.2	0.241379310344828	0.209302325581395	0.232558139534884	0.290909090909091	0.314285714285714	0.443037974683544	0.369565217391304	0.432835820895522	0.351351351351351	0.475	0.486486486486487	0.723404255319149	0.675675675675676	0.736842105263158	0.810810810810811	0.763157894736842	0.763157894736842	1	0.833333333333333	0.833333333333333	0.918918918918919
LEfSe	0.215686274509804	0.21875	0.25	0.225	0.25	0.283018867924528	0.34375	0.3875	0.363636363636364	0.409090909090909	0.424242424242424	0.435897435897436	0.485714285714286	0.659574468085106	0.594594594594595	0.657894736842105	0.882352941176471	1	1	0.763157894736842	0.75	0.75	0.789473684210526
KW TSS	0.215686274509804	0.21875	0.25	0.225	0.25	0.283018867924528	0.34375	0.3875	0.363636363636364	0.409090909090909	0.424242424242424	0.435897435897436	0.485714285714286	0.659574468085106	0.594594594594595	0.657894736842105	0.882352941176471	1	1	0.763157894736842	0.75	0.75	0.789473684210526
limma-voom	0.215686274509804	0.21875	0.235294117647059	0.195121951219512	0.219512195121951	0.283018867924528	0.34375	0.3875	0.395348837209302	0.409090909090909	0.382352941176471	0.473684210526316	0.444444444444444	0.659574468085106	0.594594594594595	0.702702702702703	1	0.882352941176471	0.882352941176471	0.810810810810811	0.75	0.75	0.837837837837838
ANCOM-BC	0.173076923076923	0.225806451612903	0.223529411764706	0.170731707317073	0.195121951219512	0.264150943396226	0.354838709677419	0.375	0.340909090909091	0.333333333333333	0.4375	0.486486486486487	0.59375	0.638297872340426	0.657142857142857	1	0.702702702702703	0.657894736842105	0.657894736842105	0.736842105263158	0.878787878787879	0.878787878787879	0.763157894736842
fitFeatureModel	0.163265306122449	0.259259259259259	0.176470588235294	0.257142857142857	0.285714285714286	0.340425531914894	0.357142857142857	0.341772151898734	0.341463414634146	0.353846153846154	0.448275862068966	0.457142857142857	0.516129032258065	0.520833333333333	1	0.657142857142857	0.594594594594595	0.594594594594595	0.594594594594595	0.675675675675676	0.705882352941177	0.705882352941177	0.615384615384615
SAMseq	0.169230769230769	0.152173913043478	0.322222222222222	0.211538461538462	0.230769230769231	0.261538461538462	0.239130434782609	0.488095238095238	0.345454545454545	0.445945945945946	0.326086956521739	0.458333333333333	0.434782608695652	1	0.520833333333333	0.638297872340426	0.659574468085106	0.659574468085106	0.659574468085106	0.723404255319149	0.638297872340426	0.638297872340426	0.708333333333333
KW CLR	0.136363636363636	0.35	0.134146341463415	0.233333333333333	0.225806451612903	0.166666666666667	0.55	0.253164556962025	0.263157894736842	0.227272727272727	0.75	0.333333333333333	1	0.434782608695652	0.516129032258065	0.59375	0.444444444444444	0.485714285714286	0.485714285714286	0.486486486486487	0.545454545454545	0.545454545454545	0.473684210526316
DESeq2	0.148936170212766	0.192307692307692	0.227848101265823	0.242424242424242	0.272727272727273	0.333333333333333	0.25	0.271604938271605	0.485714285714286	0.307692307692308	0.344827586206897	1	0.333333333333333	0.458333333333333	0.457142857142857	0.486486486486487	0.473684210526316	0.435897435897436	0.435897435897436	0.475	0.447368421052632	0.447368421052632	0.428571428571429
ALDEx2 Wilcoxon	0.153846153846154	0.466666666666667	0.113924050632911	0.28	0.269230769230769	0.186046511627907	0.733333333333333	0.189873417721519	0.264705882352941	0.1875	1	0.344827586206897	0.75	0.326086956521739	0.448275862068966	0.4375	0.382352941176471	0.424242424242424	0.424242424242424	0.351351351351351	0.393939393939394	0.393939393939394	0.342105263157895
edgeR RLE	0.3	0.0793650793650794	0.425531914893617	0.181818181818182	0.196969696969697	0.46969696969697	0.142857142857143	0.609195402298851	0.435483870967742	1	0.1875	0.307692307692308	0.227272727272727	0.445945945945946	0.353846153846154	0.333333333333333	0.409090909090909	0.409090909090909	0.409090909090909	0.432835820895522	0.373134328358209	0.373134328358209	0.426470588235294
