Methods	GLM NBZI	baySeq	edgeR TMM	edgeR RLE	fitZIG	limma-voom	KW rCLR	t-test rCLR	GLM rCLR	ALDEx2 t-test	fitFeatureModel	DESeq2	LEfSe	KW TSS	ALDEx2 Wilcoxon	KW CLR	t-test TSS	ANCOM	t-test CLR	GLM TSS	GLM CLR	ANCOM-BC
ANCOM-BC	0.141509433962264	0.0552995391705069	0.0782918149466192	0.109540636042403	0.108974358974359	0.0790816326530612	0.123222748815166	0.126760563380282	0.133663366336634	0.470588235294118	0.472222222222222	0.430769230769231	0.390243902439024	0.48780487804878	0.542857142857143	0.6	0.612244897959184	0.674418604651163	0.825	0.743589743589744	0.911764705882353	1
GLM CLR	0.123809523809524	0.0508083140877598	0.0714285714285714	0.0989399293286219	0.0993589743589744	0.0741687979539642	0.114285714285714	0.117924528301887	0.124378109452736	0.516129032258065	0.515151515151515	0.384615384615385	0.421052631578947	0.526315789473684	0.545454545454545	0.606060606060606	0.583333333333333	0.642857142857143	0.794871794871795	0.710526315789474	1	0.911764705882353
GLM TSS	0.152380952380952	0.0552995391705069	0.074468085106383	0.101754385964912	0.108974358974359	0.0818414322250639	0.117924528301887	0.121495327102804	0.12807881773399	0.388888888888889	0.472222222222222	0.409090909090909	0.5	0.564102564102564	0.459459459459459	0.513513513513513	0.755555555555556	0.714285714285714	0.738095238095238	1	0.710526315789474	0.743589743589744
t-test CLR	0.177570093457944	0.0668202764976959	0.096085409252669	0.123239436619718	0.125	0.0946291560102302	0.125581395348837	0.134259259259259	0.141463414634146	0.41025641025641	0.414634146341463	0.462686567164179	0.377777777777778	0.466666666666667	0.439024390243902	0.48780487804878	0.647058823529412	0.638297872340426	1	0.738095238095238	0.794871794871795	0.825
ANCOM	0.116071428571429	0.05	0.0696864111498258	0.111888111888112	0.114649681528662	0.083756345177665	0.126168224299065	0.134883720930233	0.142156862745098	0.384615384615385	0.425	0.405797101449275	0.452380952380952	0.511627906976744	0.526315789473684	0.578947368421053	0.596153846153846	1	0.638297872340426	0.714285714285714	0.642857142857143	0.674418604651163
t-test TSS	0.222222222222222	0.0781609195402299	0.105633802816901	0.136363636363636	0.140575079872204	0.10997442455243	0.137614678899083	0.146118721461187	0.153846153846154	0.297872340425532	0.361702127659574	0.464788732394366	0.416666666666667	0.469387755102041	0.354166666666667	0.395833333333333	1	0.596153846153846	0.647058823529412	0.755555555555556	0.583333333333333	0.612244897959184
KW CLR	0.0686274509803922	0.0300230946882217	0.0505415162454874	0.0709219858156028	0.0705128205128205	0.051150895140665	0.0922330097087379	0.0961538461538462	0.101522842639594	0.652173913043478	0.464285714285714	0.265625	0.451612903225806	0.441176470588235	0.826086956521739	1	0.395833333333333	0.578947368421053	0.48780487804878	0.513513513513513	0.606060606060606	0.6
ALDEx2 Wilcoxon	0.0490196078431373	0.0230414746543779	0.0471014492753623	0.0676156583629893	0.0641025641025641	0.0460358056265985	0.0878048780487805	0.0865384615384615	0.0913705583756345	0.714285714285714	0.56	0.274193548387097	0.34375	0.342857142857143	1	0.826086956521739	0.354166666666667	0.526315789473684	0.439024390243902	0.459459459459459	0.545454545454545	0.542857142857143
KW TSS	0.128712871287129	0.0512820512820513	0.0571428571428571	0.0734265734265734	0.0830670926517572	0.0612244897959184	0.0849056603773585	0.0938967136150235	0.099009900990099	0.303030303030303	0.352941176470588	0.365079365079365	0.851851851851852	1	0.342857142857143	0.441176470588235	0.469387755102041	0.511627906976744	0.466666666666667	0.564102564102564	0.526315789473684	0.48780487804878
LEfSe	0.122448979591837	0.041958041958042	0.0541516245487365	0.0594405594405594	0.0702875399361022	0.0564102564102564	0.0710900473933649	0.080188679245283	0.0845771144278607	0.3	0.3125	0.32258064516129	1	0.851851851851852	0.34375	0.451612903225806	0.416666666666667	0.452380952380952	0.377777777777778	0.5	0.421052631578947	0.390243902439024
DESeq2	0.269565217391304	0.0878378378378378	0.146853146853147	0.173010380622837	0.159375	0.117206982543641	0.149122807017544	0.162280701754386	0.170506912442396	0.229508196721311	0.258064516129032	1	0.32258064516129	0.365079365079365	0.274193548387097	0.265625	0.464788732394366	0.405797101449275	0.462686567164179	0.409090909090909	0.384615384615385	0.430769230769231
fitFeatureModel	0.104166666666667	0.0278422273781903	0.0549450549450549	0.0640569395017794	0.0608974358974359	0.0488431876606684	0.0829268292682927	0.0817307692307692	0.0862944162436548	0.458333333333333	1	0.258064516129032	0.3125	0.352941176470588	0.56	0.464285714285714	0.361702127659574	0.425	0.414634146341463	0.472222222222222	0.515151515151515	0.472222222222222
ALDEx2 t-test	0.0510204081632653	0.0232558139534884	0.0477941176470588	0.0533807829181495	0.0512820512820513	0.0411311053984576	0.0788177339901478	0.0776699029126214	0.0820512820512821	1	0.458333333333333	0.229508196721311	0.3	0.303030303030303	0.714285714285714	0.652173913043478	0.297872340425532	0.384615384615385	0.41025641025641	0.388888888888889	0.516129032258065	0.470588235294118
GLM rCLR	0.184873949579832	0.357456140350877	0.352769679300292	0.304945054945055	0.337730870712401	0.364485981308411	0.85981308411215	0.927884615384615	1	0.0820512820512821	0.0862944162436548	0.170506912442396	0.0845771144278607	0.099009900990099	0.0913705583756345	0.101522842639594	0.153846153846154	0.142156862745098	0.141463414634146	0.12807881773399	0.124378109452736	0.133663366336634
t-test rCLR	0.181451612903226	0.381578947368421	0.364942528735632	0.306451612903226	0.359580052493438	0.39018691588785	0.825892857142857	1	0.927884615384615	0.0776699029126214	0.0817307692307692	0.162280701754386	0.080188679245283	0.0938967136150235	0.0865384615384615	0.0961538461538462	0.146118721461187	0.134883720930233	0.134259259259259	0.121495327102804	0.117924528301887	0.126760563380282
KW rCLR	0.164658634538153	0.368995633187773	0.340909090909091	0.294906166219839	0.348167539267016	0.376744186046512	1	0.825892857142857	0.85981308411215	0.0788177339901478	0.0829268292682927	0.149122807017544	0.0710900473933649	0.0849056603773585	0.0878048780487805	0.0922330097087379	0.137614678899083	0.126168224299065	0.125581395348837	0.117924528301887	0.114285714285714	0.123222748815166
limma-voom	0.163814180929095	0.767391304347826	0.519630484988453	0.40546218487395	0.540659340659341	1	0.376744186046512	0.39018691588785	0.364485981308411	0.0411311053984576	0.0488431876606684	0.117206982543641	0.0564102564102564	0.0612244897959184	0.0460358056265985	0.051150895140665	0.10997442455243	0.083756345177665	0.0946291560102302	0.0818414322250639	0.0741687979539642	0.0790816326530612
