Methods	ANCOM	KW rCLR	GLM rCLR	GLM NBZI	t-test rCLR	baySeq	edgeR RLE	edgeR TMM	fitZIG	ANCOM-BC	fitFeatureModel	LEfSe	DESeq2	SAMseq	ALDEx2 t-test	ALDEx2 Wilcoxon	KW TSS	KW CLR	GLM TSS	t-test TSS	limma-voom	t-test CLR	GLM CLR
GLM CLR	0.229166666666667	0.287234042553192	0.25	0.291666666666667	0.253968253968254	0.348484848484849	0.353448275862069	0.363636363636364	0.484536082474227	0.465909090909091	0.549019607843137	0.555555555555556	0.550724637681159	0.576923076923077	0.625	0.673469387755102	0.636363636363636	0.78	0.82	0.897959183673469	0.92156862745098	1	1
t-test CLR	0.229166666666667	0.287234042553192	0.25	0.291666666666667	0.253968253968254	0.348484848484849	0.353448275862069	0.363636363636364	0.484536082474227	0.465909090909091	0.549019607843137	0.555555555555556	0.550724637681159	0.576923076923077	0.625	0.673469387755102	0.636363636363636	0.78	0.82	0.897959183673469	0.92156862745098	1	1
limma-voom	0.22	0.294736842105263	0.261538461538462	0.283783783783784	0.265625	0.378787878787879	0.382608695652174	0.371794871794872	0.505154639175258	0.488636363636364	0.528301886792453	0.508771929824561	0.535211267605634	0.5625	0.568627450980392	0.615384615384615	0.614035087719298	0.716981132075472	0.823529411764706	0.862745098039216	1	0.92156862745098	0.92156862745098
t-test TSS	0.244444444444444	0.268817204301075	0.222222222222222	0.304347826086957	0.225806451612903	0.34375	0.350877192982456	0.342105263157895	0.45360824742268	0.465116279069767	0.583333333333333	0.557692307692308	0.529411764705882	0.538461538461538	0.5625	0.645833333333333	0.641509433962264	0.72	0.91304347826087	1	0.862745098039216	0.897959183673469	0.897959183673469
GLM TSS	0.255813953488372	0.260869565217391	0.25	0.294117647058824	0.254237288135593	0.333333333333333	0.333333333333333	0.315789473684211	0.43298969072165	0.425287356321839	0.608695652173913	0.58	0.478260869565217	0.493670886075949	0.58695652173913	0.673913043478261	0.7	0.68	1	0.91304347826087	0.823529411764706	0.82	0.82
KW CLR	0.268292682926829	0.239130434782609	0.258620689655172	0.228571428571429	0.263157894736842	0.28125	0.293103448275862	0.289473684210526	0.412371134020619	0.386363636363636	0.531914893617021	0.509803921568627	0.470588235294118	0.506493506493506	0.69047619047619	0.829268292682927	0.537037037037037	1	0.68	0.72	0.716981132075472	0.78	0.78
KW TSS	0.232558139534884	0.236559139784946	0.254237288135593	0.318181818181818	0.258620689655172	0.360655737704918	0.290598290598291	0.302631578947368	0.38	0.464285714285714	0.553191489361702	0.857142857142857	0.422535211267606	0.519480519480519	0.5	0.52	1	0.537037037037037	0.7	0.641509433962264	0.614035087719298	0.636363636363636	0.636363636363636
ALDEx2 Wilcoxon	0.323529411764706	0.202247191011236	0.294117647058824	0.234375	0.3	0.271186440677966	0.243478260869565	0.28169014084507	0.34020618556701	0.32183908045977	0.625	0.48936170212766	0.409090909090909	0.434210526315789	0.828571428571429	1	0.52	0.829268292682927	0.673913043478261	0.645833333333333	0.615384615384615	0.673469387755102	0.673469387755102
ALDEx2 t-test	0.366666666666667	0.197674418604651	0.319148936170213	0.209677419354839	0.326086956521739	0.267857142857143	0.208695652173913	0.279411764705882	0.298969072164948	0.305882352941176	0.525	0.5	0.390625	0.381578947368421	1	0.828571428571429	0.5	0.69047619047619	0.58695652173913	0.5625	0.568627450980392	0.625	0.625
SAMseq	0.146666666666667	0.298245614035088	0.215909090909091	0.333333333333333	0.218390804597701	0.288888888888889	0.4375	0.360824742268041	0.513274336283186	0.772727272727273	0.358974358974359	0.48	0.540229885057471	1	0.381578947368421	0.434210526315789	0.519480519480519	0.506493506493506	0.493670886075949	0.538461538461538	0.5625	0.576923076923077	0.576923076923077
DESeq2	0.186440677966102	0.306930693069307	0.246575342465753	0.424657534246575	0.25	0.298701298701299	0.460869565217391	0.526315789473684	0.462264150943396	0.538461538461538	0.40625	0.376811594202899	1	0.540229885057471	0.390625	0.409090909090909	0.422535211267606	0.470588235294118	0.478260869565217	0.529411764705882	0.535211267605634	0.550724637681159	0.550724637681159
LEfSe	0.27027027027027	0.197802197802198	0.236363636363636	0.306451612903226	0.240740740740741	0.305084745762712	0.25	0.256756756756757	0.32	0.426829268292683	0.456521739130435	1	0.376811594202899	0.48	0.5	0.48936170212766	0.857142857142857	0.509803921568627	0.58	0.557692307692308	0.508771929824561	0.555555555555556	0.555555555555556
fitFeatureModel	0.3125	0.223529411764706	0.285714285714286	0.288135593220339	0.291666666666667	0.285714285714286	0.238938053097345	0.294117647058824	0.322916666666667	0.302325581395349	1	0.456521739130435	0.40625	0.358974358974359	0.525	0.625	0.553191489361702	0.531914893617021	0.608695652173913	0.583333333333333	0.528301886792453	0.549019607843137	0.549019607843137
ANCOM-BC	0.135802469135802	0.36283185840708	0.228260869565217	0.384615384615385	0.230769230769231	0.355555555555556	0.496062992125984	0.393939393939394	0.552631578947368	1	0.302325581395349	0.426829268292683	0.538461538461538	0.772727272727273	0.305882352941176	0.32183908045977	0.464285714285714	0.386363636363636	0.425287356321839	0.465116279069767	0.488636363636364	0.465909090909091	0.465909090909091
fitZIG	0.114583333333333	0.456896551724138	0.267326732673267	0.305555555555556	0.27	0.317307692307692	0.6015625	0.416666666666667	1	0.552631578947368	0.322916666666667	0.32	0.462264150943396	0.513274336283186	0.298969072164948	0.34020618556701	0.38	0.412371134020619	0.43298969072165	0.45360824742268	0.505154639175258	0.484536082474227	0.484536082474227
