Kingdom	Phylum	Class	Order	Family	Genus	Case MRA	Control MRA	MRAR	KW TSS	KW CLR	KW rCLR	t-test TSS	t-test CLR	t-test rCLR	GLM TSS	GLM CLR	GLM rCLR	ANCOM	ANCOM-BC	ALDEx2 t-test	ALDEx2 Wilcoxon	baySeq	DESeq2	edgeR RLE	edgeR TMM	fitFeatureModel	fitZIG	GLM NBZI	limma-voom	LEfSe	N methods detected by
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	0.000123476450842413	0.000163327053381665	0.756007337950752	0.381264363608809	0.889373320430253	0.052522448595114	0.449617106310327	0.635394249311512	0.0519842889442384	0.497828471876185	0.68760776783101	0.0572879432930062	1	0.79132156363505	0.70097863323622	0.632976904433096	0.000410747522544143	0.561399043361249	0.542457623363876	0.77379719232879	0.914186839805407	0.143180914820382	0.435309016811791	0.00656860003178292	1	2
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea	1.27171931262452e-07	0	Inf	0.634526005684682	0.998648223348226	0.0897585858056801	0.485844037895162	0.71430586941326	0.0361592733788188	0.623095268788352	0.725448335401248	0.066103649377933	1	0.99898497017594	0.795555909607071	0.792071290873902	0.00209734828586171	1	0.982642234073356	0.15463547188804	0.647531932163659	0.171890463222962	0.99999587557469	0.00244429430172574	1	3
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	UBA1819	0.00361481516784338	0.00261347567356383	1.38314475409449	0.0247968348820092	0.436677389203754	0.014762844747646	0.449617106310327	0.438319054613638	0.020866455214961	0.497828471876185	0.494362744946861	0.0236308396616226	1	0.59859556130375	0.643206851024691	0.344398205685056	0.236569178201768	0.00629869173373947	0.803674447419013	0.159961329638749	0.186028077447429	0.043362468130358	0.0922889566340243	0.0285787738288179	0.024796834882017	8
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	0.0169582620760571	0.0158874506592962	1.06739982642428	0.884632405207372	0.998648223348226	0.328090465107312	0.841877310829922	0.729255308331552	0.478567189593039	0.846741505071537	0.730190165173979	0.474559134884881	1	0.907328908515783	0.883284643510073	0.67452389597082	0.248976789436932	0.872559757503268	0.66646314922815	1	0.64549265795003	0.295717463334568	0.99999587557469	0.825372168899183	1	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pygmaiobacter	1.14785339390474e-05	0	Inf	0.392414231522663	0.998648223348226	0.178167633733389	0.362163272031423	0.333568715673854	0.0476235333304633	0.51156255369966	0.52388191039586	0.08312019373804	1	0.716484059729169	0.763088991068094	0.766908154917008	0	1	1.03356595949342e-14	6.92238897631171e-11	0.502491588035447	0.000421320454209413	0.99999587557469	0.000714375652488708	1	6
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0.0276049448065625	0.0416127060130945	0.663377786531736	0.0109108210011105	0.000308532770583508	1.99905711693089e-05	0.00570093078933647	0.0038405534063411	2.30059205136174e-05	0.00646802837006274	0.00532316842025002	4.61916971127176e-05	0	0.00228890207270984	0.0146346969352404	0.000252072032473041	0.186358283748681	0.00262367991793151	0.000548170255167331	0.00328539309265243	0.000809419800344448	3.65364912311361e-05	0.0531906573654015	0.00246282110694668	0.010910821001088	20
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	5.29740180539877e-05	4.0043219173346e-05	1.32292106248163	0.674565572558803	0.998648223348226	0.256203647586696	0.941421865637815	0.983715673783803	0.280658392718589	0.939133859541196	0.983760551136322	0.252008410921488	1	0.99898497017594	0.887904362565476	0.925612443497549	0.118977666842387	0.843686320726939	0.732483851396718	0.682581661096022	0.64549265795003	0.320620609755467	0.0245411868713759	0.241511997130229	1	1
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	0.000421373050690869	0.000457179857703883	0.921678948865226	0.793447922315798	0.998648223348226	0.885518855602794	0.552854292850823	0.68511249284331	0.957921152779757	0.623095268788352	0.718209199477783	0.96716914945372	1	0.770526109368954	0.782718097775876	0.792610968002979	0.189450069586616	0.0674877220512308	0.0377780571115746	0.285349092878545	0.64549265795003	0.18612374713387	0.99999587557469	0.825996645590358	1	1
Eukaryota	NA	NA	NA	NA	NA	0	7.11210035685675e-08	0	0.525742825466531	0.999496976192922	0.0104320302679178	0.485844037895162	0.921038760291007	0.025416262042928	0.497828471876185	0.919061969847517	0.0109979457583996	1	0.907328908515783	0.796333704250254	0.794603230665011	0.00314482160603033	1	0.982616105051172	0.178408854994926	0.542597778025524	0.15045569187785	0.99999587557469	0.00615251969868226	1	5
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	0.000102814359570601	8.14818453328908e-05	1.26180696019533	0.924086172409375	0.998648223348226	3.37960890929665e-05	0.977257164528815	0.930209772033053	0.00120024795612394	0.979105308907814	0.931266408163406	0.00190168279814154	1	0.99898497017594	0.831915852174676	0.807318344007782	6.63828273876573e-05	1	0.861258916681406	0.432948822174314	0.974410727610112	0.00431155642249823	0.99999587557469	0.592553284523451	1	5
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	0.00447659177724566	0.00278093772102923	1.60974183038837	0.0536670677044582	0.161713055313695	0.00474998754440331	0.0133863297975801	0.0439317144122054	0.00663973641826449	0.0237585028458779	0.0620149685061034	0.00809423778680084	0	0.0533863800747284	0.143880645691611	0.150896031300568	0.0791932351654831	0.00629869173373947	0.292045745495074	0.102439352233499	0.103147307431452	2.95663450855536e-05	0.530450578831494	0.0422382525450637	1	10
