Kingdom	Phylum	Class	Order	Family	Genus	Case MRA	Control MRA	MRAR	KW TSS	KW CLR	KW rCLR	t-test TSS	t-test CLR	t-test rCLR	GLM TSS	GLM CLR	GLM rCLR	ANCOM	ANCOM-BC	ALDEx2 t-test	ALDEx2 Wilcoxon	baySeq	DESeq2	edgeR RLE	edgeR TMM	fitFeatureModel	fitZIG	GLM NBZI	limma-voom	SAMseq	LEfSe	N methods detected by
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	0.000128915065371931	0.000166835465327941	0.772707799978432	0.190328336418037	0.155828359206051	0.0877040118470785	0.227525478318085	0.234816593580241	0.559453466473511	0.253599510713549	0.242827368135196	0.569181632180225	1	0.0134194240876979	0.439945637767717	0.380601857990674	0.476937404814649	0.488051221270249	0.0630542829383999	0.498429405500926	0.892255823889418	0.180839287041857	0.318067991237369	0.261139158471872	0.0266	1	2
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	UBA1819	0.00368495917225433	0.00263042442808573	1.40089908415884	0.00468246253136463	0.0850519746355955	0.0159687568612915	0.125529785773551	0.126045416170904	0.0449595211183407	0.146824549382438	0.134978454811913	0.0477525501864506	1	0.00629387040525234	0.240307361669207	0.113751739833626	0.685792734599288	0.100396219091015	0.72491365685338	0.227813620644756	0.0816605912749066	0.0433425807483777	0.0530251150968526	0.131672339892414	0	0.00468246253137	8
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	0.0173333101689983	0.0160561206814591	1.07954533432313	0.921779510125147	0.469213484283675	0.346199814565888	0.977065303072603	0.751131363999655	0.589890718291776	0.979320325339469	0.751816383302321	0.582099197867718	1	0.918783542505914	0.841836342792064	0.471595578846023	0.695974962995243	0.94294126861576	0.94996625113643	0.874103934661372	0.597058560006288	0.358062990383978	0.727221435703329	0.859985459269405	0.34631	1	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0.0282656845841171	0.0421146337529132	0.671160640977005	0.00468246253136463	5.36588122363905e-05	0.000187420535893996	0.00395776102098671	0.00118699579566575	0.00190538008078371	0.00548096878396562	0.00174478383740132	0.00221253355573918	0	0.00437751472988566	0.00568883829823237	5.41843363108135e-05	0.607607657104712	0.0032320119179671	0.0023932733409629	0.0103144924305213	0.000481154381993121	8.14862176698435e-05	0.0478212342530691	0.0040901936507458	0	0.00468246253137	22
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	5.41311314499805e-05	4.06505505723405e-05	1.33162111429832	0.644827737318401	0.831976471593021	0.204018692895542	0.888267291397054	0.744138076036743	0.236457261770842	0.890467114367725	0.746465240677269	0.226680212746575	1	0.0853762059799624	0.781648455125984	0.807170212803461	0.552850265134364	0.709370979602303	0.397055719728184	0.791898943921151	0.615457153289968	0.391361397607077	0.0143431567221968	0.700474720388692	0.22597	1	1
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	0.000429936812928395	0.000460473068937789	0.933685033785289	0.800379447687896	0.760340153870696	0.661590637288746	0.621785938950892	0.662990228078396	0.960748018494824	0.615102296126741	0.649313434895602	0.955903194615552	1	0.918783542505914	0.722734112989393	0.748264449966851	0.618097558225755	0.0846022552850937	0.111621971669711	0.258225725445567	0.593476037789494	0.221639276550801	0.921624309443023	0.829291312445735	1	1	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	0.00520328122436505	0.00282242753560082	1.84354820760966	0.0161607424545435	0.0278045380876902	0.197198824969644	0.00271813590547159	0.00573838627981556	0.137186715588567	0.00548096878396562	0.00966747058386153	0.154200659841892	1	0.00033395542968702	0.0327731929007299	0.0335991185609742	0.259769468452995	0.00120006776507773	0.150179807104839	0.62965918783886	0.0452176109632288	5.43725519069291e-05	0.199305085913073	0.00722359691722006	0	0.0161607424545517	15
Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	1.564392369815e-05	3.78532167574028e-05	0.413278580745468	0.0128448919701006	0.232413956794107	2.82651908165638e-05	0.0517746415265722	0.108711374664434	0.00383979671044447	0.0367617667995978	0.082917587529908	0.00272291589100722	1	0.728127424548294	0.315926915464435	0.267501977046385	0.000170053477566917	0.0528206941552843	5.31629555216308e-05	0.263063673734696	0.118026494275491	0.034074515089406	0.0999107379107688	0.0408740814106887	0.14872	1	9
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	0.0204047124040388	0.0150314426244613	1.35746866843195	0.382065727713328	0.690121584671212	0.241253594936623	0.660080223267893	0.717044221260977	0.385215070455486	0.678626432007268	0.728080712474119	0.387272054912192	1	0.383642092684272	0.846293977756675	0.736671284633673	0.67305302261708	0.662687002819055	0.63860546984279	0.426354097201205	0.386714138003777	0.2246971648262	0.173391901747603	0.8048582689355	0.09732	1	0
Bacteria	Tenericutes	Mollicutes	Izimaplasmatales	NA	NA	0.000244985221189571	0.000309828648725601	0.790711969978417	0.265991352398756	0.667693174900783	0.121171392070688	0.519001569855076	0.688281450928198	0.174259727461391	0.512583669315112	0.674655988400059	0.137129393317725	1	0.71501986404591	0.649843992371038	0.605457502153529	0.157012324386546	0.71761133501675	0.0138883970587356	0.8625195047784	0.819684869327412	0.968519044018614	0.940984907646926	0.759107414848692	1	1	1
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	0.00106316473621059	0.000985595291783193	1.07870314019769	0.648861293987928	0.984407250466255	0.137645640341017	0.800219895563962	0.886474342572133	0.991391254822154	0.806692734073293	0.885573904319615	0.99131263878233	1	0.696271954134297	0.798341320223905	0.757723394995391	0.615528211595655	0.962549111117309	0.42173180644181	0.856311296545799	0.889854174592711	0.803809355063101	0.640710821066075	0.853342142547338	1	1	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.0225311208932892	0.0260410794448595	0.865214552299861	0.0096446226690825	0.0017800503943541	0.78208666591433	0.226853109957008	0.0378531022293259	0.991391254822154	0.233416897701205	0.0356216176297461	0.99131263878233	1	0.0799857937739243	0.0410294761483108	0.010927082257782	0.702414294475412	0.573254831441612	0.150831043369445	0.615284476764055	0.747067905374441	0.0223800865705618	0.813339810141121	0.263639857373543	0	0.009644622669084	9
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	0.00121129979329601	0.00150919255309798	0.802614478059494	0.98517360440232	0.526837877587228	0.00266866535903286	0.72578449108333	0.94397458769305	0.478860145302187	0.709774774261581	0.943938932456806	0.471109678212789	1	0.534470363825841	0.826938499973096	0.738389396347046	0.708589267545972	0.711018629782773	0.168987781589681	0.412438185088859	0.669748773394728	0.508953494677377	0.505384224552459	0.973200150986309	1	1	1
