Taxa	N methods replicated
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	11
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	8
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	21
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1	9
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis;NA	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;NA	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	19
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	14
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_6	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA	5
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;NA;NA	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	4
Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	13
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Ezakiella	14
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Finegoldia	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Murdochiella	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Family_XIII_AD3011_group	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;NA	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter	23
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes	14
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	18
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;CAG-56	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira	16
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_ND3007_group	17
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-004	13
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	23
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sellimonas	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_4	1
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	13
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;DTU089	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	20
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA	7
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_6	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-003	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-004	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-010	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-013	8
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-014	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	0
