Methods	GLM NBZI	baySeq	edgeR RLE	fitZIG	edgeR TMM	KW rCLR	ALDEx2 t-test	t-test rCLR	DESeq2	GLM rCLR	limma-voom	fitFeatureModel	KW TSS	LEfSe	KW CLR	ANCOM	ALDEx2 Wilcoxon	GLM CLR	t-test TSS	t-test CLR	ANCOM-BC	GLM TSS
GLM TSS	0.0666666666666667	0.0340136054421769	0.0657894736842105	0.0852713178294574	0.106060606060606	0.25	0.363636363636364	0.25	0.272727272727273	0.333333333333333	0.392857142857143	0.636363636363636	0.375	0.375	0.666666666666667	0.647058823529412	0.636363636363636	0.692307692307692	0.846153846153846	0.769230769230769	0.769230769230769	1
ANCOM-BC	0.0645161290322581	0.0337837837837838	0.0789473684210526	0.0930232558139535	0.121212121212121	0.192307692307692	0.333333333333333	0.235294117647059	0.260869565217391	0.3125	0.379310344827586	0.461538461538462	0.4375	0.4375	0.529411764705882	0.705882352941177	0.583333333333333	0.769230769230769	0.666666666666667	1	1	0.769230769230769
t-test CLR	0.0645161290322581	0.0337837837837838	0.0789473684210526	0.0930232558139535	0.121212121212121	0.192307692307692	0.333333333333333	0.235294117647059	0.260869565217391	0.3125	0.379310344827586	0.461538461538462	0.4375	0.4375	0.529411764705882	0.705882352941177	0.583333333333333	0.769230769230769	0.666666666666667	1	1	0.769230769230769
t-test TSS	0.0625	0.0405405405405405	0.0641025641025641	0.0923076923076923	0.102941176470588	0.230769230769231	0.307692307692308	0.222222222222222	0.363636363636364	0.294117647058824	0.413793103448276	0.538461538461538	0.411764705882353	0.411764705882353	0.588235294117647	0.666666666666667	0.538461538461538	0.6	1	0.666666666666667	0.666666666666667	0.846153846153846
GLM CLR	0.032258064516129	0.027027027027027	0.08	0.0769230769230769	0.106060606060606	0.2	0.363636363636364	0.25	0.217391304347826	0.333333333333333	0.344827586206897	0.5	0.375	0.375	0.666666666666667	0.647058823529412	0.636363636363636	1	0.6	0.769230769230769	0.769230769230769	0.692307692307692
ALDEx2 Wilcoxon	0.037037037037037	0.0277777777777778	0.0405405405405405	0.0542635658914729	0.0952380952380952	0.238095238095238	0.571428571428571	0.333333333333333	0.263157894736842	0.454545454545455	0.25	0.555555555555556	0.5	0.5	0.5	0.411764705882353	1	0.636363636363636	0.538461538461538	0.583333333333333	0.583333333333333	0.636363636363636
ANCOM	0.0555555555555556	0.0394736842105263	0.0875	0.106060606060606	0.112676056338028	0.2	0.235294117647059	0.181818181818182	0.259259259259259	0.238095238095238	0.451612903225806	0.411764705882353	0.4	0.4	0.631578947368421	1	0.411764705882353	0.647058823529412	0.666666666666667	0.705882352941177	0.705882352941177	0.647058823529412
KW CLR	0.0294117647058824	0.0333333333333333	0.0632911392405063	0.0833333333333333	0.0857142857142857	0.222222222222222	0.285714285714286	0.210526315789474	0.24	0.277777777777778	0.3125	0.5	0.315789473684211	0.315789473684211	1	0.631578947368421	0.5	0.666666666666667	0.588235294117647	0.529411764705882	0.529411764705882	0.666666666666667
LEfSe	0.0666666666666667	0.0410958904109589	0.0384615384615385	0.0769230769230769	0.0735294117647059	0.25	0.25	0.25	0.272727272727273	0.333333333333333	0.344827586206897	0.384615384615385	1	1	0.315789473684211	0.4	0.5	0.375	0.411764705882353	0.4375	0.4375	0.375
KW TSS	0.0666666666666667	0.0410958904109589	0.0384615384615385	0.0769230769230769	0.0735294117647059	0.25	0.25	0.25	0.272727272727273	0.333333333333333	0.344827586206897	0.384615384615385	1	1	0.315789473684211	0.4	0.5	0.375	0.411764705882353	0.4375	0.4375	0.375
fitFeatureModel	0.037037037037037	0.0206896551724138	0.0547945205479452	0.0542635658914729	0.078125	0.238095238095238	0.222222222222222	0.230769230769231	0.2	0.333333333333333	0.25	1	0.384615384615385	0.384615384615385	0.5	0.411764705882353	0.555555555555556	0.5	0.538461538461538	0.461538461538462	0.461538461538462	0.636363636363636
limma-voom	0.113636363636364	0.0833333333333333	0.166666666666667	0.198473282442748	0.184210526315789	0.205128205128205	0.142857142857143	0.193548387096774	0.363636363636364	0.193548387096774	1	0.25	0.344827586206897	0.344827586206897	0.3125	0.451612903225806	0.25	0.344827586206897	0.413793103448276	0.379310344827586	0.379310344827586	0.392857142857143
GLM rCLR	0.111111111111111	0.0344827586206897	0.0394736842105263	0.0615384615384615	0.0923076923076923	0.4	0.181818181818182	0.5	0.238095238095238	1	0.193548387096774	0.333333333333333	0.333333333333333	0.333333333333333	0.277777777777778	0.238095238095238	0.454545454545455	0.333333333333333	0.294117647058824	0.3125	0.3125	0.333333333333333
DESeq2	0.1875	0.0463576158940397	0.10126582278481	0.106060606060606	0.128571428571429	0.161290322580645	0.166666666666667	0.238095238095238	1	0.238095238095238	0.363636363636364	0.2	0.272727272727273	0.272727272727273	0.24	0.259259259259259	0.263157894736842	0.217391304347826	0.363636363636364	0.260869565217391	0.260869565217391	0.272727272727273
t-test rCLR	0.0714285714285714	0.0273972602739726	0.025974025974026	0.0534351145038168	0.0757575757575758	0.4	0.181818181818182	1	0.238095238095238	0.5	0.193548387096774	0.230769230769231	0.25	0.25	0.210526315789474	0.181818181818182	0.333333333333333	0.25	0.222222222222222	0.235294117647059	0.235294117647059	0.25
ALDEx2 t-test	0	0.0211267605633803	0.0277777777777778	0.0310077519379845	0.0476190476190476	0.0952380952380952	1	0.181818181818182	0.166666666666667	0.181818181818182	0.142857142857143	0.222222222222222	0.25	0.25	0.285714285714286	0.235294117647059	0.571428571428571	0.363636363636364	0.307692307692308	0.333333333333333	0.333333333333333	0.363636363636364
KW rCLR	0.0810810810810811	0.0884353741496599	0.0348837209302326	0.0962962962962963	0.08	1	0.0952380952380952	0.4	0.161290322580645	0.4	0.205128205128205	0.238095238095238	0.25	0.25	0.222222222222222	0.2	0.238095238095238	0.2	0.230769230769231	0.192307692307692	0.192307692307692	0.25
edgeR TMM	0.185714285714286	0.326797385620915	0.450549450549451	0.308219178082192	1	0.08	0.0476190476190476	0.0757575757575758	0.128571428571429	0.0923076923076923	0.184210526315789	0.078125	0.0735294117647059	0.0735294117647059	0.0857142857142857	0.112676056338028	0.0952380952380952	0.106060606060606	0.102941176470588	0.121212121212121	0.121212121212121	0.106060606060606
fitZIG	0.111111111111111	0.459459459459459	0.344594594594595	1	0.308219178082192	0.0962962962962963	0.0310077519379845	0.0534351145038168	0.106060606060606	0.0615384615384615	0.198473282442748	0.0542635658914729	0.0769230769230769	0.0769230769230769	0.0833333333333333	0.106060606060606	0.0542635658914729	0.0769230769230769	0.0923076923076923	0.0930232558139535	0.0930232558139535	0.0852713178294574
edgeR RLE	0.181818181818182	0.286585365853659	1	0.344594594594595	0.450549450549451	0.0348837209302326	0.0277777777777778	0.025974025974026	0.10126582278481	0.0394736842105263	0.166666666666667	0.0547945205479452	0.0384615384615385	0.0384615384615385	0.0632911392405063	0.0875	0.0405405405405405	0.08	0.0641025641025641	0.0789473684210526	0.0789473684210526	0.0657894736842105
baySeq	0.0945945945945946	1	0.286585365853659	0.459459459459459	0.326797385620915	0.0884353741496599	0.0211267605633803	0.0273972602739726	0.0463576158940397	0.0344827586206897	0.0833333333333333	0.0206896551724138	0.0410958904109589	0.0410958904109589	0.0333333333333333	0.0394736842105263	0.0277777777777778	0.027027027027027	0.0405405405405405	0.0337837837837838	0.0337837837837838	0.0340136054421769
GLM NBZI	1	0.0945945945945946	0.181818181818182	0.111111111111111	0.185714285714286	0.0810810810810811	0	0.0714285714285714	0.1875	0.111111111111111	0.113636363636364	0.037037037037037	0.0666666666666667	0.0666666666666667	0.0294117647058824	0.0555555555555556	0.037037037037037	0.032258064516129	0.0625	0.0645161290322581	0.0645161290322581	0.0666666666666667
