Methods	baySeq	KW rCLR	GLM NBZI	edgeR TMM	edgeR RLE	GLM rCLR	t-test rCLR	DESeq2	fitZIG	ANCOM	fitFeatureModel	ALDEx2 t-test	SAMseq	LEfSe	ALDEx2 Wilcoxon	KW TSS	ANCOM-BC	KW CLR	GLM TSS	limma-voom	t-test TSS	t-test CLR	GLM CLR
GLM CLR	0.173913043478261	0.171428571428571	0.181818181818182	0.193548387096774	0.260869565217391	0.263157894736842	0.25	0.357142857142857	0.4	0.368421052631579	0.7	0.578947368421053	0.59375	0.6	0.631578947368421	0.64	0.72	0.789473684210526	0.818181818181818	0.818181818181818	0.863636363636364	1	1
t-test CLR	0.173913043478261	0.171428571428571	0.181818181818182	0.193548387096774	0.260869565217391	0.263157894736842	0.25	0.357142857142857	0.4	0.368421052631579	0.7	0.578947368421053	0.59375	0.6	0.631578947368421	0.64	0.72	0.789473684210526	0.818181818181818	0.818181818181818	0.863636363636364	1	1
t-test TSS	0.153846153846154	0.157894736842105	0.166666666666667	0.212121212121212	0.297872340425532	0.227272727272727	0.217391304347826	0.366666666666667	0.466666666666667	0.318181818181818	0.608695652173913	0.5	0.6875	0.653846153846154	0.545454545454545	0.692307692307692	0.642857142857143	0.681818181818182	0.954545454545455	0.954545454545455	1	0.863636363636364	0.863636363636364
limma-voom	0.16	0.162162162162162	0.171428571428571	0.21875	0.304347826086957	0.238095238095238	0.227272727272727	0.379310344827586	0.444444444444444	0.333333333333333	0.565217391304348	0.523809523809524	0.65625	0.68	0.571428571428571	0.72	0.607142857142857	0.714285714285714	0.909090909090909	1	0.954545454545455	0.818181818181818	0.818181818181818
GLM TSS	0.16	0.162162162162162	0.171428571428571	0.21875	0.304347826086957	0.238095238095238	0.227272727272727	0.379310344827586	0.444444444444444	0.333333333333333	0.636363636363636	0.523809523809524	0.65625	0.615384615384615	0.571428571428571	0.653846153846154	0.607142857142857	0.714285714285714	1	0.909090909090909	0.954545454545455	0.818181818181818	0.818181818181818
KW CLR	0.210526315789474	0.193548387096774	0.166666666666667	0.222222222222222	0.255813953488372	0.333333333333333	0.3125	0.307692307692308	0.311111111111111	0.466666666666667	0.578947368421053	0.733333333333333	0.46875	0.5	0.8	0.541666666666667	0.625	1	0.714285714285714	0.714285714285714	0.681818181818182	0.789473684210526	0.789473684210526
ANCOM-BC	0.142857142857143	0.243243243243243	0.294117647058824	0.272727272727273	0.340425531914894	0.208333333333333	0.25	0.482758620689655	0.478260869565217	0.291666666666667	0.56	0.458333333333333	0.647058823529412	0.551724137931034	0.5	0.586206896551724	1	0.625	0.607142857142857	0.607142857142857	0.642857142857143	0.72	0.72
KW TSS	0.153846153846154	0.222222222222222	0.235294117647059	0.176470588235294	0.270833333333333	0.173913043478261	0.217391304347826	0.366666666666667	0.434782608695652	0.260869565217391	0.541666666666667	0.375	0.6875	0.954545454545455	0.416666666666667	1	0.586206896551724	0.541666666666667	0.653846153846154	0.72	0.692307692307692	0.64	0.64
ALDEx2 Wilcoxon	0.25	0.214285714285714	0.185185185185185	0.2	0.214285714285714	0.416666666666667	0.384615384615385	0.291666666666667	0.244444444444444	0.583333333333333	0.5	0.916666666666667	0.375	0.434782608695652	1	0.416666666666667	0.5	0.8	0.571428571428571	0.571428571428571	0.545454545454545	0.631578947368421	0.631578947368421
LEfSe	0.16	0.228571428571429	0.242424242424242	0.181818181818182	0.276595744680851	0.181818181818182	0.227272727272727	0.379310344827586	0.41304347826087	0.272727272727273	0.5	0.391304347826087	0.65625	1	0.434782608695652	0.954545454545455	0.551724137931034	0.5	0.615384615384615	0.68	0.653846153846154	0.6	0.6
SAMseq	0.111111111111111	0.255813953488372	0.238095238095238	0.315789473684211	0.392156862745098	0.15625	0.1875	0.416666666666667	0.52	0.21875	0.46875	0.34375	1	0.65625	0.375	0.6875	0.647058823529412	0.46875	0.65625	0.65625	0.6875	0.59375	0.59375
ALDEx2 t-test	0.266666666666667	0.222222222222222	0.192307692307692	0.208333333333333	0.19047619047619	0.454545454545455	0.416666666666667	0.304347826086957	0.222222222222222	0.636363636363636	0.444444444444444	1	0.34375	0.391304347826087	0.916666666666667	0.375	0.458333333333333	0.733333333333333	0.523809523809524	0.523809523809524	0.5	0.578947368421053	0.578947368421053
fitFeatureModel	0.15	0.15625	0.206896551724138	0.1	0.2	0.25	0.3125	0.259259259259259	0.340909090909091	0.375	1	0.444444444444444	0.46875	0.5	0.5	0.541666666666667	0.56	0.578947368421053	0.636363636363636	0.565217391304348	0.608695652173913	0.7	0.7
ANCOM	0.25	0.208333333333333	0.173913043478261	0.19047619047619	0.121951219512195	0.714285714285714	0.625	0.238095238095238	0.159090909090909	1	0.375	0.636363636363636	0.21875	0.272727272727273	0.583333333333333	0.260869565217391	0.291666666666667	0.466666666666667	0.333333333333333	0.333333333333333	0.318181818181818	0.368421052631579	0.368421052631579
fitZIG	0.181818181818182	0.32	0.306122448979592	0.291666666666667	0.537037037037037	0.113636363636364	0.136363636363636	0.3125	1	0.159090909090909	0.340909090909091	0.222222222222222	0.52	0.41304347826087	0.244444444444444	0.434782608695652	0.478260869565217	0.311111111111111	0.444444444444444	0.444444444444444	0.466666666666667	0.4	0.4
DESeq2	0.125	0.242424242424242	0.344827586206897	0.423076923076923	0.318181818181818	0.2	0.25	1	0.3125	0.238095238095238	0.259259259259259	0.304347826086957	0.416666666666667	0.379310344827586	0.291666666666667	0.366666666666667	0.482758620689655	0.307692307692308	0.379310344827586	0.379310344827586	0.366666666666667	0.357142857142857	0.357142857142857
t-test rCLR	0.166666666666667	0.272727272727273	0.238095238095238	0.2	0.0975609756097561	0.833333333333333	1	0.25	0.136363636363636	0.625	0.3125	0.416666666666667	0.1875	0.227272727272727	0.384615384615385	0.217391304347826	0.25	0.3125	0.227272727272727	0.227272727272727	0.217391304347826	0.25	0.25
GLM rCLR	0.181818181818182	0.227272727272727	0.19047619047619	0.210526315789474	0.1	1	0.833333333333333	0.2	0.113636363636364	0.714285714285714	0.25	0.454545454545455	0.15625	0.181818181818182	0.416666666666667	0.173913043478261	0.208333333333333	0.333333333333333	0.238095238095238	0.238095238095238	0.227272727272727	0.263157894736842	0.263157894736842
edgeR RLE	0.175	0.297872340425532	0.404761904761905	0.425	1	0.1	0.0975609756097561	0.318181818181818	0.537037037037037	0.121951219512195	0.2	0.19047619047619	0.392156862745098	0.276595744680851	0.214285714285714	0.270833333333333	0.340425531914894	0.255813953488372	0.304347826086957	0.304347826086957	0.297872340425532	0.260869565217391	0.260869565217391
edgeR TMM	0.3	0.25	0.52	1	0.425	0.210526315789474	0.2	0.423076923076923	0.291666666666667	0.19047619047619	0.1	0.208333333333333	0.315789473684211	0.181818181818182	0.2	0.176470588235294	0.272727272727273	0.222222222222222	0.21875	0.21875	0.212121212121212	0.193548387096774	0.193548387096774
GLM NBZI	0.333333333333333	0.272727272727273	1	0.52	0.404761904761905	0.19047619047619	0.238095238095238	0.344827586206897	0.306122448979592	0.173913043478261	0.206896551724138	0.192307692307692	0.238095238095238	0.242424242424242	0.185185185185185	0.235294117647059	0.294117647058824	0.166666666666667	0.171428571428571	0.171428571428571	0.166666666666667	0.181818181818182	0.181818181818182
KW rCLR	0.2	1	0.272727272727273	0.25	0.297872340425532	0.227272727272727	0.272727272727273	0.242424242424242	0.32	0.208333333333333	0.15625	0.222222222222222	0.255813953488372	0.228571428571429	0.214285714285714	0.222222222222222	0.243243243243243	0.193548387096774	0.162162162162162	0.162162162162162	0.157894736842105	0.171428571428571	0.171428571428571
baySeq	1	0.2	0.333333333333333	0.3	0.175	0.181818181818182	0.166666666666667	0.125	0.181818181818182	0.25	0.15	0.266666666666667	0.111111111111111	0.16	0.25	0.153846153846154	0.142857142857143	0.210526315789474	0.16	0.16	0.153846153846154	0.173913043478261	0.173913043478261
